name,slug,value,date_of_information,ranking,region
"Tunisia","tunisia","11.87","","120","Africa"
"Mexico","mexico","11.86","","121","North America"
"Colombia","colombia","11.65","","122","South America"
"Moldova","moldova","11.60","","123","Europe"
"Turks and Caicos Islands","turks-and-caicos-islands","11.59","","124","Central America"
"Guam","guam","11.46","","125","Australia - Oceania"
"Palau","palau","11.28","","126","Australia - Oceania"
"Dominica","dominica","11.27","","127","Central America"
"Libya","libya","11.22","","128","Africa"
"Jamaica","jamaica","11.17","","129","Central America"
"Belize","belize","11.15","","130","Central America"
"Albania","albania","10.82","","131","Europe"
"Peru","peru","10.80","","132","South America"
"Seychelles","seychelles","10.60","","133","Africa"
"Brunei","brunei","10.52","","134","East Asia/Southeast Asia"
"Montserrat","montserrat","10.36","","135","Central America"
"Bahrain","bahrain","10.19","","136","Middle East"
"American Samoa","american-samoa","10.06","","137","Australia - Oceania"
"Fiji","fiji","10.06","","138","Australia - Oceania"
"Barbados","barbados","10.00","","139","Central America"
"Grenada","grenada","9.40","","140","Central America"
"Argentina","argentina","9.35","","141","South America"
"Greenland","greenland","8.75","","142","North America"
"Croatia","croatia","8.74","","143","Europe"
"Costa Rica","costa-rica","8.39","","144","Central America"
"Cyprus","cyprus","8.36","","145","Europe"
"Saint Kitts and Nevis","saint-kitts-and-nevis","8.35","","146","Central America"
"Uruguay","uruguay","8.31","","147","South America"
"Sri Lanka","sri-lanka","8.20","","148","South Asia"
"Saint Pierre and Miquelon","saint-pierre-and-miquelon","8.16","","149","North America"
"Bulgaria","bulgaria","7.98","","150","Europe"
"Sint Maarten","sint-maarten","7.98","","151","Central America"
"Curacao","curacao","7.88","","152","Central America"
"Nauru","nauru","7.84","","153","Australia - Oceania"
"Cayman Islands","cayman-islands","7.65","","154","Central America"
"Virgin Islands","virgin-islands","7.65","","155","Central America"
"Kuwait","kuwait","7.43","","156","Middle East"
"Ukraine","ukraine","7.33","","157","Europe"
"Lebanon","lebanon","7.04","","159","Middle East"
"China","china","6.76","","160","East Asia/Southeast Asia"
"Saint Barthelemy","saint-barthelemy","6.71","","161","Central America"
"Saint Martin","saint-martin","6.71","","162","Central America"
"Qatar","qatar","6.62","","163","Middle East"
"Malaysia","malaysia","6.59","","164","East Asia/Southeast Asia"
"Chile","chile","6.55","","165","South America"
"San Marino","san-marino","6.51","","166","Europe"
"Thailand","thailand","6.47","","167","East Asia/Southeast Asia"
"Russia","russia","6.42","","168","Central Asia"
"Gibraltar","gibraltar","6.25","","169","Europe"
"Puerto Rico","puerto-rico","6.04","","170","Central America"
"Faroe Islands","faroe-islands","5.99","","171","Europe"
"Romania","romania","5.84","","172","Europe"
"Bosnia and Herzegovina","bosnia-and-herzegovina","5.21","","173","Europe"
"United States","united-states","5.17","","174","North America"
"United Arab Emirates","united-arab-emirates","5.14","","175","Middle East"
"New Caledonia","new-caledonia","5.00","","176","Australia - Oceania"
"Latvia","latvia","4.85","","177","Europe"
"Slovakia","slovakia","4.82","","178","Europe"
"Serbia","serbia","4.81","","179","Europe"
"Hungary","hungary","4.62","","180","Europe"
"Macau","macau","4.59","","181","East Asia/Southeast Asia"
"Malta","malta","4.53","","182","Europe"
"French Polynesia","french-polynesia","4.40","","183","Australia - Oceania"
"Canada","canada","4.38","","184","North America"
"Isle of Man","isle-of-man","4.24","","185","Europe"
"Poland","poland","4.16","","186","Europe"
"Cuba","cuba","4.13","","187","Central America"
"Liechtenstein","liechtenstein","4.05","","188","Europe"
"Wallis and Futuna","wallis-and-futuna","4.00","","189","Australia - Oceania"
"Taiwan","taiwan","3.97","","190","East Asia/Southeast Asia"
"Jersey","jersey","3.87","","191","Europe"
"United Kingdom","united-kingdom","3.82","","192","Europe"
"Lithuania","lithuania","3.63","","193","Europe"
"Switzerland","switzerland","3.58","","194","Europe"
"Israel","israel","3.56","","195","Middle East"
"Greece","greece","3.55","","196","Europe"
"Ireland","ireland","3.47","","197","Europe"
"Andorra","andorra","3.44","","198","Europe"
"New Zealand","new-zealand","3.44","","199","Australia - Oceania"
"Estonia","estonia","3.42","","200","Europe"
"Netherlands","netherlands","3.40","","201","Europe"
"Guernsey","guernsey","3.36","","202","Europe"
"Belarus","belarus","3.27","","203","Europe"
"Luxembourg","luxembourg","3.25","","204","Europe"
"Austria","austria","3.24","","205","Europe"
"Montenegro","montenegro","3.24","","206","Europe"
"Belgium","belgium","3.19","","207","Europe"
"Germany","germany","3.19","","208","Europe"
"Italy","italy","3.16","","209","Europe"
"France","france","3.15","","210","Europe"
"Anguilla","anguilla","3.07","","211","Central America"
"Denmark","denmark","3.04","","212","Europe"
"Australia","australia","3.01","","213","Australia - Oceania"
