name,slug,value,date_of_information,ranking,region
"Svalbard","svalbard","-5.57","2021 est.","207","Europe"
"Fiji","fiji","-5.84","2022 est.","208","Australia - Oceania"
"Saint Martin","saint-martin","-6.13","2022 est.","209","Central America"
"Eswatini","eswatini","-6.16","2022 est.","210","Africa"
"El Salvador","el-salvador","-6.29","2022 est.","211","Central America"
"Tuvalu","tuvalu","-6.41","2022 est.","212","Australia - Oceania"
"Saint Vincent and the Grenadines","saint-vincent-and-the-grenadines","-6.47","2022 est.","213","Central America"
"Sao Tome and Principe","sao-tome-and-principe","-7.19","2022 est.","214","Africa"
"Saint Pierre and Miquelon","saint-pierre-and-miquelon","-7.23","2022 est.","215","North America"
"Virgin Islands","virgin-islands","-7.35","2022 est.","216","Central America"
"Guyana","guyana","-7.42","2022 est.","217","South America"
"Samoa","samoa","-7.51","2022 est.","218","Australia - Oceania"
"Jamaica","jamaica","-7.70","2022 est.","219","Central America"
"Moldova","moldova","-8.87","2022 est.","220","Europe"
"Eritrea","eritrea","-10.11","2022 est.","221","Africa"
"Nauru","nauru","-10.60","2022 est.","222","Australia - Oceania"
"Guam","guam","-10.96","2022 est.","223","Australia - Oceania"
"Jordan","jordan","-11.08","2022 est.","224","Middle East"
"Puerto Rico","puerto-rico","-11.90","2022 est.","225","Central America"
"Maldives","maldives","-12.78","2022 est.","226","South Asia"
"Northern Mariana Islands","northern-mariana-islands","-13.60","2022 est.","227","Australia - Oceania"
"Tonga","tonga","-18.01","2022 est.","228","Australia - Oceania"
"Micronesia, Federated States of","micronesia-federated-states-of","-20.91","2022 est.","229","Australia - Oceania"
"Cook Islands","cook-islands","-27.31","2022 est.","230","Australia - Oceania"
"American Samoa","american-samoa","-29.80","2022 est.","231","Australia - Oceania"
